x,y,z
4.500000000000000000e+01,-1.705000000000000000e+02,-1.163414459189985485e-15
4.700000000000000000e+01,-1.810000000000000000e+02,-2.939152317953647500e-15
5.150000000000000000e+01,-1.835000000000000000e+02,-3.429011037612588881e-15
2.799999999999999645e+01,-1.125000000000000000e+02,-1.950000000000000355e+01
-9.000000000000000000e+00,-1.690000000000000000e+02,0.000000000000000000e+00
2.800000000000000000e+01,-1.730000000000000000e+02,-4.041334437186265411e-15
3.399999999999999289e+01,-1.270000000000000000e+02,-3.950000000000000711e+01
3.599999999999999289e+01,-1.375000000000000000e+02,-4.750000000000000711e+01
3.799999999999999289e+01,-1.550000000000000000e+02,-4.800000000000000711e+01
3.799999999999999289e+01,-1.655000000000000000e+02,-5.250000000000000711e+01
-1.506315562951244216e-14,-1.770000000000000000e+02,-8.200000000000000000e+01
-1.138921523207038456e-14,-1.740000000000000000e+02,-6.200000000000000000e+01
-1.157291225194248728e-14,-1.740000000000000000e+02,-6.300000000000000000e+01
-5.510910596163088767e-15,-1.920000000000000000e+02,-3.000000000000000000e+01
-3.490243377569956456e-15,-1.970000000000000000e+02,-1.900000000000000000e+01
-5.510910596163088767e-15,-1.960000000000000000e+02,-3.000000000000000000e+01
4.666666666666666430e+01,-1.716666666666666572e+02,5.333333333333330373e+00
4.666666666666666430e+01,-1.710000000000000000e+02,1.299999999999999822e+01
3.200000000000000711e+01,-1.785000000000000000e+02,2.850000000000000000e+01
2.200000000000000711e+01,-1.975000000000000000e+02,4.000000000000000000e+01
6.500000000000006217e+00,-2.080000000000000000e+02,3.500000000000000000e+01
1.300000000000000711e+01,-2.030000000000000000e+02,3.500000000000000000e+01
1.666666666666671404e+00,-1.910000000000000000e+02,2.566666666666666785e+01
-1.049999999999999822e+01,-1.782500000000000000e+02,1.225000000000000000e+01
-7.999999999999999112e+00,-1.636666666666666572e+02,7.000000000000000000e+00
-1.199999999999999645e+01,-1.775000000000000000e+02,2.400000000000000000e+01
8.633759933988838989e-15,-1.900000000000000000e+02,4.700000000000000000e+01
3.600000000000000000e+01,-2.050000000000000000e+02,-4.408728476930471644e-15
4.100000000000000000e+01,-1.950000000000000000e+02,-5.021051876504148174e-15
2.150000000000000000e+01,-1.850000000000000000e+02,4.999999999999997335e+00
3.100000000000000000e+01,-1.885000000000000000e+02,4.999999999999996447e+00
3.099999999999999645e+01,-1.905000000000000000e+02,-1.200000000000000355e+01
2.600000000000000000e+01,-1.733333333333333428e+02,1.099999999999999822e+01
4.100000000000000000e+01,-1.780000000000000000e+02,2.549999999999999645e+01
2.265596578422603396e-15,-1.910000000000000000e+02,3.700000000000000000e+01
1.666666666666666075e+01,-1.826666666666666572e+02,-1.033333333333333570e+01
-5.663991446056507702e-15,-1.855000000000000000e+02,-2.750000000000000000e+01
-4.745506346695993302e-15,-1.915000000000000000e+02,-2.650000000000000000e+01
-4.745506346695993302e-15,-2.065000000000000000e+02,-2.850000000000000000e+01
1.866666666666666430e+01,-1.873333333333333428e+02,-2.600000000000000000e+01
5.749999999999999112e+00,-1.695000000000000000e+02,-1.925000000000000000e+01
-1.066666666666666963e+01,-1.830000000000000000e+02,-1.399999999999999822e+01
-3.450000000000000000e+01,-1.810000000000000000e+02,1.550000000000000355e+01
9.666666666666669627e+00,-1.716666666666666572e+02,1.000000000000000178e+01
9.500000000000000000e+01,-1.570000000000000000e+02,0.000000000000000000e+00
-5.749999999999999289e+01,-1.680000000000000000e+02,3.650000000000000711e+01
